epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4779.93,1.13429,0.87799,1.31587,0.82135,0.70628,0.77683,0.46998,1.26066,0.84382,1.36785,0.0005941,0.0005941,0.0005941
43,4900.67,1.11399,0.86361,1.3049,0.81477,0.73302,0.78776,0.48381,1.2473,0.80105,1.36385,0.0005842,0.0005842,0.0005842
44,5038.97,1.11561,0.85188,1.3013,0.81263,0.73106,0.78846,0.48072,1.24506,0.81013,1.36028,0.0005743,0.0005743,0.0005743
45,5155.35,1.11805,0.86148,1.30198,0.81847,0.73628,0.78667,0.48565,1.22359,0.79246,1.34986,0.0005644,0.0005644,0.0005644
46,5280.72,1.10599,0.84671,1.29757,0.82116,0.71392,0.77765,0.4758,1.24497,0.81502,1.35985,0.0005545,0.0005545,0.0005545
47,5396.81,1.09755,0.82706,1.28523,0.81995,0.72731,0.78869,0.48244,1.2408,0.8096,1.3608,0.0005446,0.0005446,0.0005446
48,5508.02,1.08087,0.82063,1.27891,0.81878,0.73805,0.79493,0.49374,1.22403,0.78205,1.34394,0.0005347,0.0005347,0.0005347
49,5624.98,1.07053,0.8006,1.26491,0.83327,0.72085,0.78742,0.48819,1.22633,0.7954,1.35671,0.0005248,0.0005248,0.0005248
50,5736.05,1.08089,0.81423,1.28148,0.81817,0.74035,0.79474,0.49488,1.21405,0.77713,1.3402,0.0005149,0.0005149,0.0005149
51,5877.03,1.05957,0.79259,1.26638,0.83863,0.73837,0.80273,0.50436,1.20756,0.76079,1.33984,0.000505,0.000505,0.000505
52,6002.92,1.05238,0.79061,1.26722,0.83136,0.74383,0.80196,0.50651,1.19638,0.75569,1.32944,0.0004951,0.0004951,0.0004951
53,6124.46,1.06214,0.79095,1.26444,0.82466,0.74246,0.80084,0.50202,1.20268,0.76307,1.34265,0.0004852,0.0004852,0.0004852
54,6240.52,1.05296,0.78016,1.24994,0.82422,0.74398,0.79977,0.50081,1.20924,0.76299,1.33936,0.0004753,0.0004753,0.0004753
55,6357.12,1.04056,0.77044,1.24629,0.8159,0.74472,0.80116,0.50372,1.212,0.76982,1.34877,0.0004654,0.0004654,0.0004654
56,6472.3,1.03956,0.77476,1.25294,0.81101,0.75481,0.80149,0.50431,1.19895,0.75894,1.33945,0.0004555,0.0004555,0.0004555
57,6583.7,1.03385,0.76671,1.24731,0.82941,0.74573,0.80579,0.50857,1.19533,0.74415,1.33452,0.0004456,0.0004456,0.0004456
58,6697.92,1.01656,0.74452,1.23127,0.83456,0.74758,0.80634,0.50792,1.20475,0.74879,1.33075,0.0004357,0.0004357,0.0004357
59,6808.75,1.03067,0.77227,1.24958,0.82966,0.74807,0.80615,0.50572,1.20997,0.74684,1.34405,0.0004258,0.0004258,0.0004258
60,6919.43,1.01371,0.7467,1.23435,0.82727,0.75702,0.80946,0.51002,1.20605,0.74339,1.34684,0.0004159,0.0004159,0.0004159
61,7029.81,1.01218,0.74958,1.2257,0.82457,0.75392,0.80932,0.51066,1.19008,0.72751,1.3221,0.000406,0.000406,0.000406
62,7152.23,1.00675,0.7323,1.2224,0.84109,0.74208,0.80992,0.51113,1.20697,0.73213,1.34166,0.0003961,0.0003961,0.0003961
63,7262.91,1.00097,0.73182,1.22177,0.83082,0.76128,0.81272,0.51708,1.19586,0.72462,1.32978,0.0003862,0.0003862,0.0003862
64,7381.7,0.99227,0.72077,1.21677,0.83826,0.75341,0.81516,0.52026,1.19455,0.71851,1.33423,0.0003763,0.0003763,0.0003763
65,7497.46,0.98755,0.71507,1.21018,0.83545,0.7632,0.81834,0.52417,1.17473,0.71851,1.32388,0.0003664,0.0003664,0.0003664
66,7617.92,0.97774,0.71227,1.21522,0.83981,0.76229,0.81742,0.52447,1.16844,0.70168,1.31357,0.0003565,0.0003565,0.0003565
67,7734.46,0.96201,0.69973,1.20173,0.84151,0.75545,0.8149,0.52198,1.17605,0.71148,1.31824,0.0003466,0.0003466,0.0003466
68,7845.24,0.96373,0.69941,1.20252,0.83945,0.76473,0.82123,0.52835,1.17193,0.70699,1.31822,0.0003367,0.0003367,0.0003367
